ASSERTION	AAEDAAEBAQAAAAAAAHCnQA==
ASSERTION	AAECAAIBAAAAAAAAAPA/
RUN	parabank.payment.Payment	payment	1760300941581	 	3.3.1
USER	make payments simultaneously	145	END	1760300942648	1760300943756
USER	make payments simultaneously	8	END	1760300942607	1760300943756
USER	make payments simultaneously	151	END	1760300942648	1760300943757
REQUEST	183		payment	1760300942650	1760300943760	OK	 
USER	make payments simultaneously	183	END	1760300942649	1760300943761
REQUEST	38		payment	1760300942643	1760300943762	OK	 
REQUEST	172		payment	1760300942649	1760300943763	OK	 
USER	make payments simultaneously	38	END	1760300942614	1760300943763
USER	make payments simultaneously	172	END	1760300942649	1760300943763
REQUEST	72		payment	1760300942645	1760300943764	OK	 
USER	make payments simultaneously	72	END	1760300942645	1760300943765
REQUEST	55		payment	1760300942645	1760300943767	OK	 
USER	make payments simultaneously	55	END	1760300942644	1760300943767
REQUEST	92		payment	1760300942646	1760300943773	OK	 
USER	make payments simultaneously	92	END	1760300942646	1760300943774
REQUEST	61		payment	1760300942645	1760300943775	OK	 
USER	make payments simultaneously	61	END	1760300942645	1760300943776
REQUEST	162		payment	1760300942649	1760300943785	OK	 
REQUEST	131		payment	1760300942648	1760300943785	OK	 
USER	make payments simultaneously	162	END	1760300942649	1760300943786
USER	make payments simultaneously	131	END	1760300942647	1760300943786
REQUEST	49		payment	1760300942645	1760300943818	OK	 
USER	make payments simultaneously	49	END	1760300942644	1760300943818
REQUEST	39		payment	1760300942643	1760300946521	OK	 
USER	make payments simultaneously	39	END	1760300942615	1760300946523
REQUEST	132		payment	1760300942648	1760300946526	OK	 
USER	make payments simultaneously	132	END	1760300942647	1760300946527
REQUEST	41		payment	1760300942642	1760300946537	OK	 
USER	make payments simultaneously	41	END	1760300942616	1760300946538
REQUEST	48		payment	1760300942642	1760300946540	OK	 
USER	make payments simultaneously	48	END	1760300942617	1760300946542
REQUEST	189		payment	1760300942650	1760300946544	OK	 
USER	make payments simultaneously	189	END	1760300942650	1760300946546
REQUEST	57		payment	1760300942645	1760300946589	OK	 
REQUEST	188		payment	1760300942650	1760300946589	OK	 
USER	make payments simultaneously	57	END	1760300942644	1760300946591
USER	make payments simultaneously	188	END	1760300942650	1760300946591
REQUEST	170		payment	1760300942649	1760300946593	OK	 
USER	make payments simultaneously	170	END	1760300942649	1760300946594
REQUEST	13		payment	1760300942642	1760300946598	OK	 
USER	make payments simultaneously	13	END	1760300942610	1760300946599
REQUEST	126		payment	1760300942647	1760300946600	OK	 
USER	make payments simultaneously	126	END	1760300942647	1760300946601
REQUEST	74		payment	1760300942645	1760300946603	OK	 
USER	make payments simultaneously	74	END	1760300942645	1760300946604
REQUEST	127		payment	1760300942648	1760300946658	OK	 
REQUEST	93		payment	1760300942646	1760300946658	OK	 
REQUEST	176		payment	1760300942650	1760300946658	OK	 
REQUEST	114		payment	1760300942650	1760300946658	OK	 
